episode,steps,total_reward,score,success,epsilon
1,45,-22.25,0,0,0.997
2,32,-21.6,0,0,0.994009
3,17,-20.85,0,0,0.991026973
4,14,-0.65,0,0,0.988053892081
5,31,-1.5000000000000007,0,0,0.985089730404757
6,9,-0.39999999999999997,0,0,0.9821344612135428
7,21,-21.05,0,0,0.9791880578299021
8,28,-21.400000000000002,0,0,0.9762504936564125
9,9,-20.45,0,0,0.9733217421754432
10,10,-20.5,0,0,0.9704017769489168
11,16,-0.7500000000000001,0,0,0.9674905716180701
12,12,-20.6,0,0,0.9645880999032158
13,17,-20.85,0,0,0.9616943356035061
14,29,-1.4000000000000006,0,0,0.9588092525966956
15,35,-21.75,0,0,0.9559328248389055
16,18,-0.8500000000000002,0,0,0.9530650263643888
17,32,28.449999999999992,10,0,0.9502058312852957
18,26,-21.3,0,0,0.9473552137914398
19,7,-20.35,0,0,0.9445131481500655
20,23,-1.1000000000000003,0,0,0.9416796087056153
21,12,-20.6,0,0,0.9388545698794984
22,9,-0.39999999999999997,0,0,0.93603800616986
23,26,-1.2500000000000004,0,0,0.9332298921513504
24,10,-20.5,0,0,0.9304302024748964
25,18,-20.900000000000002,0,0,0.9276389118674717
26,42,-22.1,0,0,0.9248559951318693
27,24,28.849999999999998,10,0,0.9220814271464737
28,10,-0.44999999999999996,0,0,0.9193151828650342
29,26,8.699999999999996,10,0,0.9165572373164391
30,11,-0.49999999999999994,0,0,0.9138075656044898
31,44,7.799999999999994,10,0,0.9110661429076764
32,29,-1.4000000000000006,0,0,0.9083329444789534
33,10,-20.5,0,0,0.9056079456455165
34,30,-21.5,0,0,0.90289112180858
35,11,-20.55,0,0,0.9001824484431542
36,12,-0.5499999999999999,0,0,0.8974819010978248
37,11,-20.55,0,0,0.8947894553945313
38,27,8.649999999999999,10,0,0.8921050870283477
39,10,-20.5,0,0,0.8894287717672626
40,28,-21.400000000000002,0,0,0.8867604854519608
41,9,-0.39999999999999997,0,0,0.884100203995605
42,15,-20.75,0,0,0.8814479033836181
43,21,8.95,10,0,0.8788035596734672
44,19,9.049999999999994,10,0,0.8761671489944468
45,10,-20.5,0,0,0.8735386475474635
46,35,-21.75,0,0,0.8709180316048211
47,22,-21.1,0,0,0.8683052775100066
48,13,-0.6,0,0,0.8657003616774767
49,24,-21.200000000000003,0,0,0.8631032605924442
50,15,-20.75,0,0,0.860513950810667
51,45,-22.25,0,0,0.857932408958235
52,12,-0.5499999999999999,0,0,0.8553586117313603
53,34,8.299999999999994,10,0,0.8527925358961662
54,11,-20.55,0,0,0.8502341582884777
55,11,-20.55,0,0,0.8476834558136123
56,8,-20.400000000000002,0,0,0.8451404054461714
57,4,-0.15000000000000002,0,0,0.8426049842298329
58,21,-1.0000000000000002,0,0,0.8400771692771434
59,32,28.449999999999992,10,0,0.837556937769312
60,17,-20.85,0,0,0.835044266956004
61,25,-21.25,0,0,0.8325391341551359
62,20,-21.0,0,0,0.8300415167526705
63,12,-20.6,0,0,0.8275513922024125
64,8,-20.400000000000002,0,0,0.8250687380258053
65,12,-20.6,0,0,0.8225935318117279
66,24,-1.1500000000000004,0,0,0.8201257512162927
67,34,-1.6500000000000008,0,0,0.8176653739626438
68,30,-1.4500000000000006,0,0,0.8152123778407558
69,22,-1.0500000000000003,0,0,0.8127667407072335
70,25,28.799999999999997,10,0,0.8103284404851119
71,12,-0.5499999999999999,0,0,0.8078974551636565
72,35,-1.7000000000000008,0,0,0.8054737627981655
73,21,-1.0000000000000002,0,0,0.803057341509771
74,20,-0.9500000000000003,0,0,0.8006481694852418
75,34,-21.700000000000003,0,0,0.798246224976786
76,41,27.999999999999986,10,0,0.7958514863018556
77,14,-0.65,0,0,0.79346393184295
78,19,-0.9000000000000002,0,0,0.7910835400474212
79,11,-0.49999999999999994,0,0,0.7887102894272789
80,7,-20.35,0,0,0.7863441585589971
81,8,-0.35,0,0,0.78398512608332
82,18,-0.8500000000000002,0,0,0.7816331707050701
83,9,-20.45,0,0,0.7792882711929549
84,20,-21.0,0,0,0.776950406379376
85,11,-0.49999999999999994,0,0,0.7746195551602378
86,15,-0.7000000000000001,10,0,0.7722956964947572
87,19,-20.95,0,0,0.7699788094052729
88,22,-21.1,0,0,0.767668872977057
89,8,-20.400000000000002,0,0,0.7653658663581259
90,22,-21.1,0,0,0.7630697687590515
91,10,-0.44999999999999996,0,0,0.7607805594527743
92,24,-21.200000000000003,0,0,0.7584982177744161
93,22,-1.0500000000000003,0,0,0.7562227231210928
94,13,9.35,10,0,0.7539540549517295
95,36,-21.8,0,0,0.7516921927868743
96,10,-20.5,0,0,0.7494371162085136
97,71,-23.549999999999997,0,0,0.747188804859888
98,38,8.099999999999994,10,0,0.7449472384453084
99,23,28.9,10,0,0.7427123967299725
100,36,-1.7500000000000009,0,0,0.7404842595397826
101,50,-22.5,0,0,0.7382628067611632
102,9,-20.45,0,0,0.7360480183408797
103,18,-0.8500000000000002,0,0,0.7338398742858571
104,28,-1.3500000000000005,0,0,0.7316383546629995
105,25,8.749999999999996,10,0,0.7294434395990105
106,27,-21.35,0,0,0.7272551092802134
107,24,28.849999999999998,10,0,0.7250733439523728
108,7,-20.35,0,0,0.7228981239205157
109,42,7.899999999999999,10,0,0.7207294295487541
110,11,-20.55,0,0,0.7185672412601078
111,29,-1.4000000000000006,0,0,0.7164115395363275
112,16,-0.7500000000000001,0,0,0.7142623049177186
113,31,-1.5000000000000007,0,0,0.7121195180029655
114,16,-0.7500000000000001,0,0,0.7099831594489566
115,26,8.699999999999996,10,0,0.7078532099706097
116,13,-0.6,0,0,0.7057296503406979
117,23,-1.1000000000000003,0,0,0.7036124613896758
118,5,-0.2,0,0,0.7015016240055068
119,41,7.949999999999989,10,0,0.6993971191334902
120,20,-21.0,0,0,0.6972989277760897
121,20,-21.0,0,0,0.6952070309927615
122,19,-20.95,0,0,0.6931214098997832
123,18,-20.900000000000002,0,0,0.6910420456700839
124,11,-20.55,0,0,0.6889689195330736
125,19,-0.9000000000000002,0,0,0.6869020127744744
126,21,-21.05,0,0,0.684841306736151
127,5,-0.2,0,0,0.6827867828159425
128,13,29.4,10,0,0.6807384224674947
129,11,-0.49999999999999994,0,0,0.6786962072000923
130,10,-0.44999999999999996,0,0,0.676660118578492
131,20,-21.0,0,0,0.6746301382227565
132,15,-0.7000000000000001,10,0,0.6726062478080883
133,10,-0.44999999999999996,0,0,0.6705884290646641
134,44,27.84999999999999,10,0,0.66857666377747
135,21,-1.0000000000000002,0,0,0.6665709337861376
136,44,27.849999999999994,10,0,0.6645712209847792
137,31,-21.55,0,0,0.6625775073218249
138,11,-20.55,0,0,0.6605897747998594
139,23,-1.1000000000000003,0,0,0.6586080054754598
140,18,-20.900000000000002,0,0,0.6566321814590335
141,6,-0.25,10,0,0.6546622849146564
142,23,-21.150000000000002,0,0,0.6526982980599124
143,22,-1.0500000000000003,0,0,0.6507402031657327
144,25,-1.2000000000000004,0,0,0.6487879825562355
145,10,-0.44999999999999996,0,0,0.6468416186085668
146,57,7.150000000000001,10,0,0.6449010937527411
147,9,-20.45,0,0,0.6429663904714829
148,55,-22.75,0,0,0.6410374913000684
149,29,-21.450000000000003,0,0,0.6391143788261682
150,6,-0.25,0,0,0.6371970356896897
151,37,-1.800000000000001,0,0,0.6352854445826206
152,23,28.9,10,0,0.6333795882488727
153,22,-21.1,0,0,0.6314794494841262
154,13,-20.650000000000002,0,0,0.6295850111356738
155,14,9.299999999999997,10,0,0.6276962561022668
156,23,-1.1000000000000003,0,0,0.62581316733396
157,30,8.499999999999993,10,0,0.623935727831958
158,21,29.0,10,0,0.6220639206484622
159,7,-0.3,0,0,0.6201977288865168
160,17,9.149999999999999,10,0,0.6183371356998573
161,13,-0.6,0,0,0.6164821242927577
162,20,-0.9500000000000003,0,0,0.6146326779198794
163,40,-1.950000000000001,0,0,0.6127887798861198
164,22,-21.1,0,0,0.6109504135464614
165,18,-0.8500000000000002,0,0,0.609117562305822
166,10,-0.44999999999999996,0,0,0.6072902096189046
167,11,-20.55,0,0,0.6054683389900478
168,22,8.899999999999991,10,0,0.6036519339730777
169,22,-1.0500000000000003,0,0,0.6018409781711584
170,11,-0.49999999999999994,0,0,0.6000354552366449
171,17,-0.8000000000000002,10,0,0.598235348870935
172,15,9.249999999999996,10,0,0.5964406428243222
173,9,-20.45,0,0,0.5946513208958493
174,38,-1.850000000000001,0,0,0.5928673669331617
175,12,-0.5499999999999999,0,0,0.5910887648323622
176,38,28.14999999999999,10,0,0.5893154985378651
177,13,-0.6,0,0,0.5875475520422515
178,21,-21.05,0,0,0.5857849093861247
179,27,-1.3000000000000005,0,0,0.5840275546579663
180,21,-1.0000000000000002,0,0,0.5822754719939924
181,17,9.149999999999999,10,0,0.5805286455780104
182,27,-1.3000000000000005,10,0,0.5787870596412764
183,8,-0.35,0,0,0.5770506984623526
184,26,-21.3,0,0,0.5753195463669655
185,12,9.399999999999999,10,0,0.5735935877278646
186,28,-21.400000000000002,0,0,0.571872806964681
187,8,-20.400000000000002,0,0,0.5701571885437869
188,21,-1.0000000000000002,0,0,0.5684467169781556
189,18,29.15,10,0,0.5667413768272211
190,32,-21.6,0,0,0.5650411526967395
191,9,-0.39999999999999997,0,0,0.5633460292386493
192,14,-0.65,0,0,0.5616559911509333
193,10,-20.5,0,0,0.5599710231774805
194,35,-1.7000000000000008,0,0,0.5582911101079481
195,18,-0.8500000000000002,0,0,0.5566162367776242
196,19,29.099999999999998,10,0,0.5549463880672914
197,12,-0.5499999999999999,0,0,0.5532815489030894
198,28,-21.400000000000002,0,0,0.5516217042563801
199,20,-0.9500000000000003,0,0,0.549966839143611
200,17,-0.8000000000000002,0,0,0.5483169386261801
201,19,-20.95,0,0,0.5466719878103016
202,14,-0.65,0,0,0.5450319718468707
203,25,-21.25,0,0,0.5433968759313301
204,22,-1.0500000000000003,0,0,0.5417666853035361
205,25,-21.25,0,0,0.5401413852476254
206,20,-0.9500000000000003,0,0,0.5385209610918825
